the_geom,cartodb_id,the_geom_webmercator,mooring_type,maritime_asset_id,crc,publish_date,asset_owner,symbol,ref_id
0101000020E610000003E2B3CFD5E36240B8B646CB10FF40C0,4100,0101000020110F0000B5CE0A8C130B7041054BE1EDD6BA4EC1,Emergency Mooring,CGR251,AE4C14BD24464604,20220111,Transport (Maritime),483,1669
0101000020E6100000E9BAAE9A48F3624032C19FCECF9240C0,4101,0101000020110F0000132B985A32187041E6FAC1D025DE4DC1,Courtesy Mooring,NLM254,1428FE45FD9BAF5D,20220111,Transport (Maritime),482,1736
0101000020E6100000E4A70DBE30F962400A2C5305A37240C0,4102,0101000020110F00002A8F019D361D704132AFA565F79C4DC1,Courtesy Mooring,NHR153,F41C9D4F0065365B,20220111,Transport (Maritime),482,7036
0101000020E610000022B6B97BABEA62409E157DA52CB840C0,4103,0101000020110F00000CD9428BE1107041179CD4C6122A4EC1,Emergency Mooring,CBW279,AA504C9DFF008288,20220111,Transport (Maritime),483,1682
0101000020E6100000CC2A22CB6FE9624090C6ADFA5CD340C0,4462,0101000020110F00002E44B46DD50F7041C320372C7C614EC1,Emergency Mooring,CPT032,F4F88C56E9CBE60C,20220513,Transport (Maritime),483,1775
0101000020E61000009B08D4B3590D63401B1C4EF8C23840C0,4105,0101000020110F000067677CD1552E70413296CE102F284DC1,Courtesy Mooring,NML491,4AFEDF31F75CC248,20220111,Transport (Maritime),482,1774
0101000020E6100000C91CFC6744E56240AD5CD8C6380A41C0,4106,0101000020110F0000E9F06AE54A0C7041AD3F3C01B5D14EC1,Courtesy Mooring,CPH080,24FA912415370A9F,20220111,Transport (Maritime),482,1712
0101000020E6100000B58A453251E062400E8F256DBDFD40C0,4463,0101000020110F0000DA288BA7160870414B6DEFB41FB84EC1,Courtesy Mooring,CUG242,3D44C741ED865B39,20220513,Transport (Maritime),482,7032
0101000020E61000001F50586624E1624028159CD4AAFE40C0,4464,0101000020110F000032449307CA087041E4F6270A06BA4EC1,Courtesy Mooring,CGR190,97BEB7030F645ACA,20220513,Transport (Maritime),482,1628
0101000020E6100000AF4AD47D00EA62401E71031914D040C0,4465,0101000020110F00002ACD135250107041E395C192C85A4EC1,Emergency Mooring,CPT020,2D9C94134EA0FC88,20220513,Transport (Maritime),483,1704
0101000020E6100000F5065D5824F36240B701B6E6A18740C0,4467,0101000020110F0000612A1E8F13187041F9CEF8A67AC74DC1,Emergency Mooring,NLM283,A17442E6B52ADC8E,20220513,Transport (Maritime),483,3030
0101000020E6100000EE1821D59DF2624042981E85EB8D40C0,4111,0101000020110F0000A83F4351A11770417FD740CF39D44DC1,Courtesy Mooring,NLM361,8FFFE16EBB96D409,20220111,Transport (Maritime),482,7048
0101000020E6100000ED2C91C8D1E8624063BE48E7D6D240C0,4468,0101000020110F0000AB82063B4F0F7041B5AF81976A604EC1,Emergency Mooring,CPT028,BCFD08DBC173426D,20220513,Transport (Maritime),483,1647
